Joie,Bonheur,Plaisir,Gaiete
Peur,Angoisse,Crainte,Terreur
Colere,Rage,Haine,Fureur
Tristesse,Chagrin,Peine,Douleur
Amour,Amitie,Affection,Tendresse
Force,Puissance,Energie,Vigueur
Calme,Paix,Silence,Repos
Honte,Gene,Pudeur,Regret
Doute,Hesitation,Mefiance,Soupcon
Envie,Desir,Souhait,Besoin
Orgueil,Fierte,Vanite,Ego
Respect,Honneur,Dignite,Estime
Lachete,Peur,Faiblesse,Fuite
Courage,Bravoure,Audace,Vaillance
Espoir,Attente,Souhait,Reve
Ennui,Lassitude,Morosite,Vide
Surprise,Etonnement,Choc,Stupeur
Degout,Repulsion,Aversion,Nasée
Mepris,Dedain,Hauteur,Morgue
Pitié,Compassion,Mercie,Grâce
Colere,Agacement,Irritation,Nerfs
Joie,Rire,Humour,Blague
Tristesse,Larme,Sanglot,Deuil
Peur,Frisson,Tremblement,Sueur
Amour,Passion,Flamme,Coup
Amitie,Lien,Fraternite,Union
Haine,Rancoeur,Vengeance,Rancune
Pardon,Oubli,Excuse,Remords
Doute,Mystere,Enigme,Secret
Verite,Realite,Preuve,Fait
Mensonge,Faux,Ruse,Tricherie
Justice,Droit,Equite,Loi
Liberte,Choix,Volonte,Action
Paix,Calme,Zen,Tranquille
Guerre,Conflit,Combat,Lutte
Vie,Mort,Naissance,Etre
Temps,Heure,Duree,Instant
Espace,Lieu,Endroit,Monde
Nature,Vie,Esprit,Ame
Raison,Logique,Pensée,Calcul
Folie,Démence,Délire,Absurde
Rêve,Vision,Illusion,Chimère
Savoir,Etude,Science,Culture
Oubli,Memoire,Rappel,Passé
Futur,Avenir,Destin,Sort
Chance,Hasard,Fortune,Succès
Echec,Defaite,Perte,Chute
Victoire,Gain,Triomphe,Gloire
Travail,Effort,Peine,Labeur
Loisir,Jeu,Platitude,Detente
Repos,Sommeil,Sieste,Pause
Faim,Soif,Envie,Besoin
Chaleur,Froid,Douceur,Rigueur
Beau,Laid,Joli,Affreux
Grand,Petit,Immense,Infime
Vrai,Faux,Pur,Net
Simple,Dur,Facile,Penible
Riche,Pauvre,Fortune,Misere
Jeune,Vieux,Ancien,Moderne
Nouveau,Rare,Unique,Seul
Ensemble,Groupe,Foule,Peuple
Seul,Isole,Unique,Desert
Bruit,Son,Cri,Murmure
Odeur,Gout,Toucher,Vue
Sens,Esprit,Coeur,Corps
Idee,Concept,Projet,Plan
Mot,Nom,Verbe,Phrase
Parole,Chant,Cri,Appel
Silence,Secret,Mystere,Ombre
Lumiere,Feu,Soleil,Eclat
Nuit,Noir,Obscur,Tenebres
Jour,Matin,Midi,Soir
Saison,Printemps,Ete,Hiver
Monde,Terre,Globe,Espace
Dieu,Ange,Esprit,Mythe
Homme,Femme,Enfant,Humain
Ami,Frere,Soeur,Parent
Ennemi,Rival,Adversaire,Autre
Etranger,Inconnu,Passant,Voisin
Famille,Lignee,Race,Sang
Pays,Nation,Etat,Peuple
Ville,Village,Campagne,Cite
Maison,Foyer,Abri,Toit
Chemin,Route,Trace,Sens
But,Cible,Fin,Objectif
Départ,Arrivée,Escale,Trajet
Voyage,Periple,Course,Marche
Vol,Nage,Saut,Chute
Force,Poids,Masse,Volume
Vite,Lent,Rapide,Doux
Haut,Bas,Profond,Long
Large,Etroit,Vaste,Serré
Plein,Vide,Creux,Rempli
Dur,Mou,Souple,Raide
Lisse,Rude,Doux,Piquant
Clair,Sombre,Vif,Terne
Lourd,Leger,Grave,Aigu
Bon,Mauvais,Bien,Mal
Juste,Faux,Exact,Erreur
